date,size_decile_5,signal_decile_5,Cap_VW_return,VW_return,EW_return
2001-01-01,1,1,0.11286277626502622,0.11286277626502622,0.17549217087781618
2001-01-01,1,2,0.1561051029858337,0.1561051029858337,0.22652523886905657
2001-01-01,1,3,0.18509792442389417,0.18509792442389417,0.2748505817902006
2001-01-01,1,4,0.21726706185539807,0.21726706185539807,0.34473795023344367
2001-01-01,1,5,0.30042009726090596,0.30042009726090596,0.5042702466494771
2001-01-01,2,1,0.09577186781862564,0.09577186781862564,0.1496552583924623
2001-01-01,2,2,0.10138109137448102,0.10138109137448102,0.18202140455783994
2001-01-01,2,3,0.10404966796770358,0.10404966796770358,0.20177641642075125
2001-01-01,2,4,0.14822063454906853,0.14822063454906853,0.2579108798275269
2001-01-01,2,5,0.1600293069541165,0.1600293069541165,0.42087086306747135
2001-01-01,3,1,0.09849648306365558,0.09849648306365558,0.1733468417393934
2001-01-01,3,2,0.07702467127083205,0.07574663268321,0.20289747555478466
2001-01-01,3,3,0.07552718785519641,0.07552718785519641,0.18664414193243317
2001-01-01,3,4,0.11410146529878218,0.11410146529878218,0.24367916779666018
2001-01-01,3,5,0.16416073384430746,0.16416073384430746,0.4552733453148748
2001-01-01,4,1,0.09837732095935425,0.09463363339008078,0.18799665334461416
2001-01-01,4,2,0.07311421050095528,0.07241737208532033,0.14123675920335133
2001-01-01,4,3,0.06149683578753157,0.06017376200977007,0.15615259978973223
2001-01-01,4,4,0.07652300342463769,0.07269738730386807,0.16897382322615842
2001-01-01,4,5,0.09432036277980503,0.09240040893396152,0.21495381706239272
2001-01-01,5,1,0.16312474179292308,0.0711044014105657,0.17472609759446417
2001-01-01,5,2,0.16024435687031635,0.18635677666266473,0.18396649011843152
2001-01-01,5,3,0.11544266330373143,0.02231270919408662,0.1531541528054231
2001-01-01,5,4,0.08665374251085572,0.046536121437098926,0.1039150558794301
2001-01-01,5,5,0.09867435576648143,0.07804227655496115,0.13447733650582339
2001-02-01,1,1,-0.06123824835786674,-0.06123824835786674,-0.0669314539495603
2001-02-01,1,2,-0.06471401760251516,-0.06471401760251516,-0.06862993490854173
2001-02-01,1,3,-0.07300348622229523,-0.07300348622229523,-0.0767743147908044
2001-02-01,1,4,-0.04552246211713006,-0.04552246211713006,-0.04831246173154881
2001-02-01,1,5,-0.0042223715284694565,-0.0042223715284694565,-0.013058675774210545
2001-02-01,2,1,-0.06043404909518095,-0.06043404909518095,-0.11163520367944675
2001-02-01,2,2,-0.0784133429170557,-0.0784133429170557,-0.09115188198517413
2001-02-01,2,3,-0.060827692817050236,-0.060827692817050236,-0.08387185958059976
2001-02-01,2,4,-0.04698951902838615,-0.04698951902838615,-0.07170104814480194
2001-02-01,2,5,-0.03310250937947902,-0.03310250937947902,-0.04872727685388907
2001-02-01,3,1,-0.11504808831599234,-0.11504808831599234,-0.18921419100577944
2001-02-01,3,2,-0.08708767300453216,-0.08708767300453216,-0.14005225690435263
2001-02-01,3,3,-0.08018212386872688,-0.08018212386872688,-0.10131760604218652
2001-02-01,3,4,-0.0663798974382124,-0.0663798974382124,-0.08226393362094953
2001-02-01,3,5,-0.03052993774279179,-0.03052993774279179,-0.03863513608102284
2001-02-01,4,1,-0.08123789295756051,-0.08121252736429757,-0.1445823794230122
2001-02-01,4,2,-0.07116526182810406,-0.07140050221437456,-0.10602889026787367
2001-02-01,4,3,-0.09882240971398865,-0.10273101109973747,-0.12027841452763557
2001-02-01,4,4,-0.06368141546303124,-0.06042268707572573,-0.08464807478799455
2001-02-01,4,5,-0.06266891789466521,-0.06569407682611969,-0.07784095268464701
2001-02-01,5,1,-0.10009297244395801,-0.08213092837968772,-0.1121102716186257
2001-02-01,5,2,-0.09618877262788865,-0.08467879939998856,-0.11026501083214624
2001-02-01,5,3,-0.12251366239283568,-0.12754316129960208,-0.13674077511794652
2001-02-01,5,4,-0.11569789453474293,-0.11075087337089343,-0.12891957311303628
2001-02-01,5,5,-0.07895359342468185,-0.11188419460044494,-0.08113848412695521
2001-03-01,1,1,-0.02847623952429815,-0.02847623952429815,-0.06437548931244397
2001-03-01,1,2,-0.02935150793964763,-0.02935150793964763,-0.03609884343236824
2001-03-01,1,3,-0.05418440016003771,-0.05418440016003771,-0.051842433480635094
2001-03-01,1,4,-0.010338043950985589,-0.010338043950985589,-0.020825163342631237
2001-03-01,1,5,-0.028464165787119626,-0.028464165787119626,-0.02945857991963866
2001-03-01,2,1,-0.0460157519041637,-0.0460157519041637,-0.10651179091576271
2001-03-01,2,2,-0.022085193374232332,-0.022085193374232332,-0.0455647211116796
2001-03-01,2,3,-0.023673877255847922,-0.023673877255847922,-0.04267073156380415
2001-03-01,2,4,-0.005977669308941315,-0.005977669308941315,-0.02579771353942719
2001-03-01,2,5,-0.021602138541900517,-0.021602138541900517,-0.04650679951681857
2001-03-01,3,1,-0.08639161771654869,-0.08639161771654869,-0.14320818775243782
2001-03-01,3,2,-0.06179025307797336,-0.06179025307797336,-0.08195525805969552
2001-03-01,3,3,-0.05892840879652225,-0.05980432255342181,-0.08377017079416735
2001-03-01,3,4,-0.06287680380143995,-0.06287680380143995,-0.06285067802345347
2001-03-01,3,5,-0.040956327555984294,-0.040956327555984294,-0.06506362852390116
2001-03-01,4,1,-0.0726104963969846,-0.07233412826964053,-0.12922523357187354
2001-03-01,4,2,-0.07463593761063195,-0.0733091079745388,-0.10172278244202415
2001-03-01,4,3,-0.049633112506440556,-0.04836107722347247,-0.06713775260354245
2001-03-01,4,4,-0.0419842961130497,-0.04036239076082682,-0.0707184155792002
2001-03-01,4,5,-0.06684372382655845,-0.06424317385093661,-0.08657268724945785
2001-03-01,5,1,-0.13244549451519175,-0.15028903178901334,-0.1888664917263659
2001-03-01,5,2,-0.0908383899608671,-0.07322188128586812,-0.10038366029544968
2001-03-01,5,3,-0.07832433099626884,-0.08428501988799328,-0.09711571202320672
2001-03-01,5,4,-0.06947847222566285,-0.03415594550428452,-0.0774829032428165
2001-03-01,5,5,-0.10404887610276106,-0.08161164296162304,-0.10432887952014526
2001-04-01,1,1,0.049073461336819384,0.049073461336819384,0.060532678162111955
2001-04-01,1,2,0.09332317873183159,0.09332317873183159,0.060285882568636505
2001-04-01,1,3,0.08774371698456791,0.08774371698456791,0.06276935107581799
2001-04-01,1,4,0.09125303262380272,0.09125303262380272,0.12755018558473027
2001-04-01,1,5,0.11177286979060908,0.11177286979060908,0.1540105712945684
2001-04-01,2,1,0.07860561693154569,0.07860561693154569,0.08009717420312366
2001-04-01,2,2,0.08969780511672873,0.08969780511672873,0.11009962195310641
2001-04-01,2,3,0.10237601628940698,0.10237601628940698,0.12421818082155184
2001-04-01,2,4,0.12735090299076532,0.12735090299076532,0.14614909679539284
2001-04-01,2,5,0.11078565306149897,0.11078565306149897,0.18803341961587586
2001-04-01,3,1,0.1124165335610818,0.1124165335610818,0.13570084830324572
2001-04-01,3,2,0.14005123877111098,0.14005123877111098,0.17754738485026925
2001-04-01,3,3,0.10737165379568192,0.10737165379568192,0.14665105796617797
2001-04-01,3,4,0.08743898327476496,0.08743898327476496,0.12242368505462725
2001-04-01,3,5,0.11606646476396726,0.11606646476396726,0.23177793630567173
2001-04-01,4,1,0.10446906189258716,0.10424223463508192,0.13969488510006492
2001-04-01,4,2,0.10996008670789369,0.1081613212942342,0.12908638452694884
2001-04-01,4,3,0.1410303289758542,0.1359736369395272,0.18408875955848286
2001-04-01,4,4,0.1260204731486132,0.12490596661571104,0.16582737060037606
2001-04-01,4,5,0.11657741710751221,0.11564564924809845,0.1652927164691135
2001-04-01,5,1,0.13033511500096048,0.09443303427935136,0.1706077009360693
2001-04-01,5,2,0.09856768419209902,0.08746544569978172,0.11534536581088597
2001-04-01,5,3,0.12201018010082088,0.08228638383726967,0.1286920970317349
2001-04-01,5,4,0.10599537628787467,0.09723326541817111,0.13983204273987893
2001-04-01,5,5,0.1669370660734727,0.10557655009724193,0.19249052429358138
2001-05-01,1,1,0.09239804620721354,0.09239804620721354,0.07742061894186306
2001-05-01,1,2,0.11606708433626081,0.11606708433626081,0.1101166633661186
2001-05-01,1,3,0.12846854732464044,0.12846854732464044,0.11761304305561601
2001-05-01,1,4,0.10122394290723186,0.10122394290723186,0.09837911827582183
2001-05-01,1,5,0.09916648856205132,0.09916648856205132,0.08002874639461736
2001-05-01,2,1,0.012311380568615794,0.012311380568615794,0.011608512013442885
2001-05-01,2,2,0.0040188448739232,0.0040188448739232,0.008580231152265262
2001-05-01,2,3,0.03566535061384547,0.03566535061384547,0.05885296841118729
2001-05-01,2,4,0.018730370950482647,0.018730370950482647,0.038492850484482685
2001-05-01,2,5,0.042219247500282955,0.042219247500282955,0.0644504942211166
2001-05-01,3,1,0.031750988301006956,0.031750988301006956,0.01477289260107554
2001-05-01,3,2,0.012487043520870307,0.012487043520870307,0.024319616704160475
2001-05-01,3,3,-0.00018951539307965858,-0.00018951539307965858,0.0240232751741231
2001-05-01,3,4,0.004888912802932905,0.004888912802932905,0.01809497861324124
2001-05-01,3,5,0.02382663685517145,0.02382663685517145,0.02063796806530662
2001-05-01,4,1,0.023417814833203456,0.023567892038173863,0.0258516736069398
2001-05-01,4,2,0.016539961405508008,0.01793574786407583,0.016551068383145774
2001-05-01,4,3,0.03296006209504324,0.03316768290454923,0.03655921385674539
2001-05-01,4,4,0.021958205302154813,0.023028519618473717,0.014502696612423848
2001-05-01,4,5,0.00912408301401887,0.008726148226407635,0.033970128972746434
2001-05-01,5,1,0.012183450342746755,0.006616722831139512,0.006430122381391919
2001-05-01,5,2,0.005475004568438229,0.01093204552302705,0.007836288314466243
2001-05-01,5,3,0.010177339592486555,-0.0030944703016999647,0.016591276030736908
2001-05-01,5,4,0.001489574931116241,-0.021209022331418997,-0.002738103019874153
2001-05-01,5,5,-0.033998630256290664,-0.018053907124300463,-0.03267655390290426
2001-06-01,1,1,0.008807676955709382,0.008807676955709382,-0.005085698470481563
2001-06-01,1,2,0.01554882901369437,0.01554882901369437,0.012601373766064579
2001-06-01,1,3,0.025167285915145443,0.025167285915145443,0.012781591251879339
2001-06-01,1,4,0.025087638592642066,0.025087638592642066,0.019121303888318585
2001-06-01,1,5,0.08248938521012189,0.08248938521012189,0.062088814302064144
2001-06-01,2,1,0.04490030110533911,0.04490030110533911,0.012641891384918832
2001-06-01,2,2,0.07700859641443916,0.07700859641443916,0.060036014271382214
2001-06-01,2,3,0.047104374144383815,0.047104374144383815,0.03971227829771683
2001-06-01,2,4,0.06437533960732332,0.06437533960732332,0.058499770187629925
2001-06-01,2,5,0.03660049620454516,0.03660049620454516,0.049031901384106416
2001-06-01,3,1,0.011836281063222012,0.011836281063222012,-0.031612808223979286
2001-06-01,3,2,0.012105425405919724,0.012105425405919724,0.022085458692796652
2001-06-01,3,3,0.004377029457775674,0.004377029457775674,0.026831167658287493
2001-06-01,3,4,0.007511784981814136,0.007511784981814136,0.032283765617434595
2001-06-01,3,5,0.008393638015312099,0.008393638015312099,0.03099015118532739
2001-06-01,4,1,-0.003649746480994095,-0.0035233817755441826,-0.02827274984868687
2001-06-01,4,2,0.004223094464862801,0.003879579788294017,-0.0025196115062090596
2001-06-01,4,3,-0.007973758585363842,-0.008967705319117156,-0.001944625630916968
2001-06-01,4,4,0.004079883604804298,0.0019277197121294607,0.0002288642378211006
