date,size_decile_5,signal_decile_5,Cap_VW_return,VW_return,EW_return
2001-02-01,3,3,-0.09857033690488384,-0.09857033690488384,-0.14289672998183567
2001-02-01,3,4,-0.07355270887651613,-0.07355270887651613,-0.09596587449155042
2001-02-01,3,5,-0.061564866278473296,-0.061564866278473296,-0.06906598512898843
2001-02-01,4,1,-0.04203887839417818,-0.04230270657259043,-0.0943103052330089
2001-02-01,4,2,-0.040554822298979616,-0.04159173667328927,-0.073724835333592
2001-02-01,4,3,-0.08418382142454256,-0.08273348565139693,-0.13029474867122892
2001-02-01,4,4,-0.11343391091406274,-0.11434867373779821,-0.1339147918634166
2001-02-01,4,5,-0.08300564419637711,-0.08431678754814981,-0.0915929756234971
2001-02-01,5,1,-0.059628817360681347,-0.022417911377940525,-0.08051912721333301
2001-02-01,5,2,-0.03535527414956152,-0.04802620122037334,-0.04694758841810928
2001-02-01,5,3,-0.11742421313687537,-0.11810247035270935,-0.1233316400175442
2001-02-01,5,4,-0.1217819013581637,-0.12617523300673045,-0.13658686813676124
2001-02-01,5,5,-0.14911357888342444,-0.17141054824584095,-0.15709368781239957
2001-03-01,1,1,-0.047261887813717346,-0.047261887813717346,-0.068495553829932
2001-03-01,1,2,-0.02654531917457594,-0.02654531917457594,-0.04472059022397073
2001-03-01,1,3,-0.006398327136972588,-0.006398327136972588,-0.033433698231982535
2001-03-01,1,4,-0.028680519342790114,-0.028680519342790114,-0.03639684076195453
2001-03-01,1,5,-0.019079066989547113,-0.019079066989547113,-0.011093910903159969
2001-03-01,2,1,-0.047620802750965176,-0.047620802750965176,-0.1018039296339466
2001-03-01,2,2,-0.03312239242841793,-0.03312239242841793,-0.07270976245300778
2001-03-01,2,3,-0.012629690255380636,-0.012629690255380636,-0.03238445980194686
2001-03-01,2,4,-0.013819005722901432,-0.013819005722901432,-0.02404293442192907
2001-03-01,2,5,-0.015646168731128767,-0.015646168731128767,-0.047343427454873
2001-03-01,3,1,-0.07926457379055107,-0.07926457379055107,-0.13446645135740753
