date,size_decile_3,signal_decile_3,Cap_VW_return,VW_return,EW_return
2001-01-01,1,1,0.1277351976589467,0.1277351976589467,0.19246786841849078
2001-01-01,1,2,0.17221001822623205,0.17221001822623205,0.265694937923414
2001-01-01,1,3,0.2905823586846311,0.2905823586846311,0.48112242830035146
2001-01-01,2,1,0.08595809410343382,0.08595809410343382,0.16188376881756908
2001-01-01,2,2,0.0972879650947612,0.0972879650947612,0.21411480128886745
2001-01-01,2,3,0.13687480186299653,0.13687480186299653,0.3852986142052021
2001-01-01,3,1,0.12747186175032854,0.10534385698198637,0.18615810460114135
2001-01-01,3,2,0.09627326444325947,0.06598225411241432,0.15453164725376023
2001-01-01,3,3,0.09290659807350832,0.06450219283643854,0.19544765553197463
2001-02-01,1,1,-0.061888773107150824,-0.061888773107150824,-0.06764130190405261
2001-02-01,1,2,-0.06429419815548401,-0.06429419815548401,-0.06492412997468623
2001-02-01,1,3,-0.015669882849607995,-0.015669882849607995,-0.024383480109912176
2001-02-01,2,1,-0.08208787756467645,-0.08208787756467645,-0.12276306805234695
2001-02-01,2,2,-0.04964226414687013,-0.04964226414687013,-0.07455366883284023
2001-02-01,2,3,-0.03733183254002531,-0.03733183254002531,-0.05350308595594783
2001-02-01,3,1,-0.09110103629294333,-0.07713615840777412,-0.1370983952698432
2001-02-01,3,2,-0.10862124457319766,-0.12116355344552601,-0.12381098789901387
2001-02-01,3,3,-0.06880439932110065,-0.10112014094564312,-0.07290444170144056
2001-03-01,1,1,-0.028820963389720188,-0.028820963389720188,-0.05664518136097202
2001-03-01,1,2,-0.0412171583402668,-0.0412171583402668,-0.04653768555507086
2001-03-01,1,3,-0.020784696500488094,-0.020784696500488094,-0.022683638476147506
2001-03-01,2,1,-0.04972487492756063,-0.04972487492756063,-0.10259257634568092
2001-03-01,2,2,-0.039736838895713084,-0.039736838895713084,-0.053059168542457257
2001-03-01,2,3,-0.02809492823257652,-0.02809492823257652,-0.03940658280758112
2001-03-01,3,1,-0.09022114634391443,-0.09687902968397769,-0.12657153182612124
2001-03-01,3,2,-0.06376710355984301,-0.060812491973824226,-0.07486196498445373
2001-03-01,3,3,-0.08533306689073945,-0.07000118165526334,-0.08707935010895841
2001-04-01,1,1,0.06182110112466322,0.06182110112466322,0.058540548288007685
2001-04-01,1,2,0.09618887158615612,0.09618887158615612,0.09198406470559783
2001-04-01,1,3,0.09769774971423123,0.09769774971423123,0.13936190491066675
2001-04-01,2,1,0.1039503824165022,0.1039503824165022,0.1072802542807691
2001-04-01,2,2,0.09930263881007238,0.09930263881007238,0.12862911652102418
2001-04-01,2,3,0.12098657811415796,0.12098657811415796,0.20518790291060846
2001-04-01,3,1,0.10887133477989602,0.09455533199570344,0.1431198207367608
2001-04-01,3,2,0.1225475366225715,0.10260524518069677,0.14982041180918337
2001-04-01,3,3,0.1377756822744629,0.1000802398490652,0.17597656604878872
2001-05-01,1,1,0.10239855199424791,0.10239855199424791,0.0850440151747059
2001-05-01,1,2,0.11406615403863307,0.11406615403863307,0.1140273617843499
2001-05-01,1,3,0.09706570512431335,0.09706570512431335,0.08252815297823146
2001-05-01,2,1,0.007817788809307903,0.007817788809307903,0.010532456652190932
2001-05-01,2,2,0.020197347704746547,0.020197347704746547,0.03753302559024234
2001-05-01,2,3,0.02547422088661521,0.02547422088661521,0.04537800230963994
2001-05-01,3,1,0.013051320521523687,0.011548767617932637,0.021008650655265824
2001-05-01,3,2,0.014601115188341635,-0.002191215243989384,0.01917779584773839
2001-05-01,3,3,-0.014172380734613825,-0.017585602287235966,0.0038653658530253265
2001-06-01,1,1,0.013251940110210133,0.013251940110210133,0.0002894932073775271
2001-06-01,1,2,0.023594551383547314,0.023594551383547314,0.010666108637609813
2001-06-01,1,3,0.056880553952268965,0.056880553952268965,0.04883869976289782
2001-06-01,2,1,0.04531986858703084,0.04531986858703084,0.018990014270266663
2001-06-01,2,2,0.046704160254801716,0.046704160254801716,0.04688417967189639
2001-06-01,2,3,0.043668202128819736,0.043668202128819736,0.06364077230742587
2001-06-01,3,1,-0.021752322767286343,-0.03132717962032332,-0.03073693268878536
2001-06-01,3,2,-0.01596855293734954,-0.025216907569472678,-0.008803228839967796
2001-06-01,3,3,-0.030975201976773198,-0.027805059745398306,-0.018520099256976952
2001-07-01,1,1,-0.03757713144365364,-0.03757713144365364,-0.03486132187861812
2001-07-01,1,2,-0.0043327478379452215,-0.0043327478379452215,-0.00738347831361041
2001-07-01,1,3,0.005817561880010802,0.005817561880010802,0.0049209281746672405
2001-07-01,2,1,-0.05232281576755968,-0.05232281576755968,-0.05244530725309377
2001-07-01,2,2,-0.02653425936059236,-0.02653425936059236,-0.025618861364420913
2001-07-01,2,3,-0.01146024302448783,-0.01146024302448783,-0.013455619488425004
2001-07-01,3,1,-0.024252688312022617,-0.010789507291046522,-0.02864801299907218
2001-07-01,3,2,-0.02383419792927749,-0.016392416095596798,-0.027369939071834208
2001-07-01,3,3,-0.03673549374040195,-0.03704647363765519,-0.032760267622548404
2001-08-01,1,1,-0.05723951229201954,-0.05723951229201954,-0.058840779422292364
2001-08-01,1,2,-0.0271984070063713,-0.0271984070063713,-0.02438350579498888
2001-08-01,1,3,-0.006016187657080063,-0.006016187657080063,-0.01336212164599686
2001-08-01,2,1,-0.07246975862212833,-0.07246975862212833,-0.07501770707386314
2001-08-01,2,2,-0.03384491754116706,-0.03384491754116706,-0.037322227062382904
2001-08-01,2,3,-0.043232951468900896,-0.043232951468900896,-0.04922632657302908
