,date,ticker,pred_prob,x,y
0,2024-01-31,10026,0.7096766,-19.161507,-28.901234
1,2024-01-31,10028,0.5210015,51.959988,-4.391616
2,2024-01-31,10032,0.53414124,21.444958,-55.071697
3,2024-01-31,10044,0.58632755,-0.012656707,-55.9068
4,2024-01-31,10066,0.6416052,-0.8509209,-24.306005
5,2024-01-31,10104,0.5396331,-28.883543,29.125153
6,2024-01-31,10107,0.56254053,-41.213173,32.260704
7,2024-01-31,10138,0.51963365,13.615714,36.538242
8,2024-01-31,10145,0.6083208,41.606647,-14.925646
9,2024-01-31,10158,0.5524156,23.187233,-46.919537
10,2024-01-31,10200,0.5227723,-32.406925,16.795437
11,2024-01-31,10220,0.55887383,-28.912891,31.60951
12,2024-01-31,10252,0.5838466,20.386913,-34.54626
13,2024-01-31,10253,0.31199566,-39.783318,-48.913235
14,2024-01-31,10257,0.45935443,-14.886316,10.817382
15,2024-01-31,10258,0.60627556,17.656643,-22.329418
16,2024-01-31,10294,0.370775,-68.61322,-34.90246
17,2024-01-31,10308,0.5979089,27.634205,-36.19098
18,2024-01-31,10318,0.4806269,45.29752,-0.8311135
19,2024-01-31,10333,0.5351194,27.565588,-4.1544113
20,2024-01-31,10355,0.5234628,-12.441794,23.34454
21,2024-01-31,10382,0.62517697,37.153954,2.1818762
22,2024-01-31,10397,0.593101,46.284122,-0.17248335
23,2024-01-31,10421,0.6750394,-26.34568,11.778836
24,2024-01-31,10443,0.50202,36.759373,-16.140968
25,2024-01-31,10463,0.3509205,53.83615,-13.882319
26,2024-01-31,10501,0.6611228,37.926594,13.686483
27,2024-01-31,10516,0.42234725,12.32186,-63.371773
28,2024-01-31,10517,0.52532315,-28.576124,11.893286
29,2024-01-31,10547,0.5264053,34.700893,-39.19451
30,2024-01-31,10550,0.62383044,-14.462233,56.719654
31,2024-01-31,10606,0.58112216,39.63493,13.097819
32,2024-01-31,10629,0.6453562,40.11199,0.012860461
33,2024-01-31,10645,0.61834043,30.027176,10.419166
34,2024-01-31,10649,0.6067733,34.22684,51.17907
35,2024-01-31,10661,0.67817944,0.9315559,-23.23125
36,2024-01-31,10693,0.55450726,-27.995855,37.840084
37,2024-01-31,10696,0.5776835,-29.20955,30.245771
38,2024-01-31,10777,0.48091412,-46.053883,9.854223
39,2024-01-31,10779,0.4173855,-10.129613,-11.867675
40,2024-01-31,10812,0.5267332,43.149807,-1.7349162
41,2024-01-31,10860,0.6391394,67.01941,-15.641885
42,2024-01-31,10866,0.64897573,-25.91026,11.634474
43,2024-01-31,10874,0.6250359,20.301304,-35.567688
44,2024-01-31,10886,0.52972,-11.902644,-43.98767
45,2024-01-31,10890,0.5880811,-7.748595,74.18492
46,2024-01-31,10892,0.6951395,37.017803,5.475996
47,2024-01-31,10901,0.49684462,-46.238228,54.46008
48,2024-01-31,10932,0.6400334,40.03011,2.6732602
49,2024-01-31,10933,0.55994993,-28.239784,23.90568
50,2024-01-31,10966,0.55896133,-7.2015104,73.34092
51,2024-01-31,11006,0.52170116,42.98095,-1.8499347
52,2024-01-31,11018,0.6274383,-31.279165,13.449445
53,2024-01-31,11043,0.3367844,19.620047,-30.312939
54,2024-01-31,11144,0.59425753,-22.312716,4.9371824
55,2024-01-31,11153,0.57220614,26.722311,22.519737
56,2024-01-31,11154,0.6821751,15.709313,35.19371
57,2024-01-31,11174,0.5984836,38.969704,-18.62219
58,2024-01-31,11208,0.6261859,38.30971,3.8593698
59,2024-01-31,11267,0.6795286,39.23907,17.215055
60,2024-01-31,11275,0.3795305,-35.857063,-44.152275
61,2024-01-31,11285,0.58485115,41.554684,-0.42427433
62,2024-01-31,11292,0.5319545,-9.081902,26.941929
63,2024-01-31,11293,0.5763665,39.402405,2.7706378
64,2024-01-31,11308,0.5142962,65.94489,-20.850443
65,2024-01-31,11368,0.5816008,-1.7375642,-10.870622
66,2024-01-31,11369,0.50319684,42.502228,-0.46555954
67,2024-01-31,11370,0.5541712,11.442527,41.874084
68,2024-01-31,11379,0.6047274,43.41957,14.308233
69,2024-01-31,11394,0.40139398,-21.462137,-54.986465
70,2024-01-31,11397,0.55562544,42.571438,-1.4495862
71,2024-01-31,11403,0.5881837,-23.18519,35.728012
72,2024-01-31,11404,0.58416206,29.397694,-49.272045
73,2024-01-31,11442,0.59603375,40.06044,-16.53728
74,2024-01-31,11499,0.5031998,46.294224,13.443655
75,2024-01-31,11511,0.39468887,-42.568516,13.635502
76,2024-01-31,11533,0.5558037,-3.6364343,23.00945
77,2024-01-31,11547,0.3937116,27.932037,-70.11592
78,2024-01-31,11565,0.62770367,42.21408,-0.9668143
79,2024-01-31,11581,0.6501063,-30.800184,15.983181
80,2024-01-31,11587,0.31984997,-39.20247,-50.681454
81,2024-01-31,11593,0.40969726,47.992085,-27.55186
82,2024-01-31,11600,0.56320477,0.63245726,0.39891392
83,2024-01-31,11618,0.62085,-52.15946,39.291702
84,2024-01-31,11628,0.71698064,-42.505127,-10.733158
85,2024-01-31,11636,0.43932828,-30.622536,62.40649
86,2024-01-31,11644,0.5658302,36.493748,-41.073864
87,2024-01-31,11654,0.4754524,-5.75487,-44.90914
88,2024-01-31,11664,0.56804085,41.03357,4.9062486
89,2024-01-31,11674,0.543893,28.740894,-48.960648
90,2024-01-31,11691,0.7187832,-4.805457,48.38225
91,2024-01-31,11701,0.5648326,42.957176,-38.94161
92,2024-01-31,11731,0.4618813,28.809935,-34.22001
93,2024-01-31,11748,0.30864248,-55.230724,-39.02588
94,2024-01-31,11752,0.5873872,-26.040668,35.841217
95,2024-01-31,11775,0.69018716,43.19529,-2.298073
96,2024-01-31,11790,0.5868007,13.830467,38.811707
97,2024-01-31,11803,0.5656665,39.254524,4.4245553
98,2024-01-31,11809,0.60357267,39.40849,14.41127
99,2024-01-31,11844,0.5310388,38.35979,-14.466164
100,2024-01-31,11850,0.5041302,35.368477,-17.480927
101,2024-01-31,11884,0.59743744,37.984463,14.8599
102,2024-01-31,11891,0.627704,37.024944,-29.13725
103,2024-01-31,11955,0.5832214,-25.589308,32.237946
104,2024-01-31,11990,0.59748983,-29.045094,24.81033
105,2024-01-31,11995,0.52386683,33.216873,-66.11842
106,2024-01-31,12008,0.5547139,38.512554,15.481414
107,2024-01-31,12009,0.63317925,36.591133,3.0668724
108,2024-01-31,12017,0.4412332,29.45211,-30.654741
109,2024-01-31,12036,0.5576028,-59.04577,25.889528
110,2024-01-31,12049,0.4349185,10.1419525,-47.466877
111,2024-01-31,12052,0.55659354,-35.024593,14.721893
112,2024-01-31,12060,0.5829646,-23.93874,21.272903
113,2024-01-31,12062,0.64656323,38.654327,17.509588
114,2024-01-31,12068,0.5773887,39.18829,2.776057
115,2024-01-31,12078,0.560439,61.704754,11.125819
116,2024-01-31,12146,0.3980491,-8.937768,62.409145
117,2024-01-31,12189,0.40035564,16.450142,-65.69929
118,2024-01-31,12209,0.54770684,19.34253,-28.519278
119,2024-01-31,12211,0.57679635,9.202273,62.825874
120,2024-01-31,12226,0.48973602,50.6197,-45.007748
121,2024-01-31,12266,0.68291605,36.723373,11.812967
122,2024-01-31,12308,0.6083086,40.822987,8.281435
123,2024-01-31,12310,0.3683486,-29.359053,-53.055813
124,2024-01-31,12350,0.45100504,24.773743,-54.304882
125,2024-01-31,12358,0.3677798,-57.482784,28.772161
126,2024-01-31,12360,0.56756204,-15.518369,-63.420395
127,2024-01-31,12363,0.65531063,42.459858,32.600258
128,2024-01-31,12366,0.6410076,-52.156937,8.928803
129,2024-01-31,12369,0.58227444,-44.575985,-5.117774
130,2024-01-31,12373,0.6227969,44.082,-0.87444955
131,2024-01-31,12380,0.5588482,-20.258913,45.856735
132,2024-01-31,12400,0.46797088,8.255542,41.25206
133,2024-01-31,12449,0.664348,-24.8117,25.639406
134,2024-01-31,12452,0.49760726,42.28768,-13.439527
135,2024-01-31,12473,0.5590967,38.13078,0.45929357
136,2024-01-31,12476,0.6563951,35.2355,-18.140865
137,2024-01-31,12477,0.5447169,38.360962,-17.109163
138,2024-01-31,12480,0.5500747,31.820234,4.8165402
139,2024-01-31,12487,0.43301538,-73.43497,-25.203976
140,2024-01-31,12488,0.4565722,70.9926,-7.3260813
141,2024-01-31,12490,0.5236069,-51.156662,16.191774
142,2024-01-31,12497,0.44504914,-45.806095,-1.5552043
143,2024-01-31,12515,0.6168829,47.151337,-34.371544
144,2024-01-31,12527,0.3449378,28.60129,-45.91534
145,2024-01-31,12558,0.5024476,29.933807,-49.95942
146,2024-01-31,12570,0.58830667,-24.435696,24.69336
147,2024-01-31,12573,0.42423767,-19.504635,22.215609
148,2024-01-31,12577,0.44631582,17.44117,56.36475
149,2024-01-31,12579,0.38812417,13.250667,-71.79156
150,2024-01-31,12583,0.6859143,53.462563,-13.057109
151,2024-01-31,12591,0.5780336,-16.108492,48.04414
152,2024-01-31,12592,0.4151764,35.807438,-59.86351
153,2024-01-31,12615,0.4707088,35.605873,-31.027113
154,2024-01-31,12622,0.63356084,-36.42882,4.3868523
155,2024-01-31,12623,0.6658968,34.99748,28.146824
156,2024-01-31,12629,0.5554527,-10.286117,-57.61998
157,2024-01-31,12641,0.6723631,-29.91779,16.04044
