,date,ticker,pred_prob,x,y
110,2024-01-31,12049,0.44238076,-28.226513,-59.94779
111,2024-01-31,12052,0.5385339,36.037025,52.505062
112,2024-01-31,12060,0.5229548,29.28225,53.42988
113,2024-01-31,12062,0.57716686,64.51296,6.5494285
114,2024-01-31,12068,0.5583098,65.2434,32.71596
115,2024-01-31,12078,0.5009898,-11.554152,12.922435
116,2024-01-31,12146,0.46831962,-22.923298,38.0446
117,2024-01-31,12189,0.53079206,42.245358,41.12463
118,2024-01-31,12209,0.5929359,41.175068,-44.089252
119,2024-01-31,12211,0.57674146,60.252293,37.438225
120,2024-01-31,12226,0.53218806,1.5308543,-74.61919
121,2024-01-31,12266,0.558389,47.30365,5.9595103
122,2024-01-31,12308,0.5964284,52.507835,-16.566996
123,2024-01-31,12310,0.44831836,-30.36747,-41.015793
124,2024-01-31,12350,0.2914014,-62.48602,-9.13317
125,2024-01-31,12358,0.50246865,-7.5530543,33.88486
126,2024-01-31,12360,0.49927968,-13.158773,-58.18412
127,2024-01-31,12363,0.5168723,7.2975984,1.7245727
128,2024-01-31,12366,0.6139473,67.6847,-7.004212
129,2024-01-31,12369,0.6064618,69.930534,2.6585033
130,2024-01-31,12373,0.60533726,5.9798822,-77.23287
131,2024-01-31,12380,0.5189903,6.232634,45.075558
132,2024-01-31,12400,0.49900538,17.59037,48.60245
133,2024-01-31,12449,0.53291744,66.722336,35.909447
134,2024-01-31,12452,0.50628096,-3.7914786,-64.125565
135,2024-01-31,12473,0.59701836,54.64717,-12.650693
136,2024-01-31,12476,0.5607935,52.442924,-11.577559
137,2024-01-31,12477,0.5896472,6.219427,-73.23862
138,2024-01-31,12480,0.56905174,3.009336,-69.48197
139,2024-01-31,12487,0.5376203,11.863476,-20.989649
140,2024-01-31,12488,0.52062356,12.101851,-19.543056
141,2024-01-31,12490,0.57978797,49.134247,36.9009
142,2024-01-31,12497,0.4428052,-14.621626,59.975616
143,2024-01-31,12515,0.55284727,3.728747,-74.89201
144,2024-01-31,12527,0.3606236,-52.154263,-11.938517
145,2024-01-31,12558,0.5085007,1.8747823,10.654888
146,2024-01-31,12570,0.53470933,68.32661,35.21709
147,2024-01-31,12573,0.50173575,-2.4060829,39.893227
148,2024-01-31,12577,0.54582983,52.323555,4.452708
149,2024-01-31,12579,0.44200325,-48.15599,20.836164
150,2024-01-31,12583,0.5413489,63.158714,28.012377
151,2024-01-31,12591,0.4979276,21.74539,53.772583
152,2024-01-31,12592,0.5321031,-12.42592,-51.021503
153,2024-01-31,12615,0.5695705,46.57272,-23.424896
154,2024-01-31,12622,0.49481514,12.47155,61.92978
155,2024-01-31,12623,0.5600971,69.84248,32.590267
156,2024-01-31,12629,0.45790493,-26.38143,-49.86145
157,2024-01-31,12641,0.5785068,45.647346,-2.3141768
158,2024-01-31,12781,0.5527483,-8.696036,-68.40149
159,2024-01-31,12783,0.6158524,64.0077,-9.941638
160,2024-01-31,12788,0.572273,12.83899,-68.15447
161,2024-01-31,12789,0.4347069,-54.985256,6.4408226
162,2024-01-31,12796,0.45810288,-33.66084,-33.78069
163,2024-01-31,12840,0.32169357,-57.48682,-12.907225
164,2024-01-31,12872,0.47522345,-11.0696125,59.259956
165,2024-01-31,12877,0.5361687,0.99119526,-64.06642
166,2024-01-31,12880,0.5608547,37.010563,-18.348042
167,2024-01-31,12905,0.63123196,71.53165,24.255978
168,2024-01-31,12913,0.5692085,44.284252,1.4666513
169,2024-01-31,12920,0.46284744,-24.297201,0.113448665
170,2024-01-31,12927,0.5727793,67.956505,25.422077
171,2024-01-31,12928,0.36904296,-60.38354,3.3120122
172,2024-01-31,12981,0.5104354,22.418732,51.245758
173,2024-01-31,13006,0.57402194,68.8091,28.922161
174,2024-01-31,13007,0.5060972,-17.38154,-61.778965
175,2024-01-31,13019,0.45753062,-25.631584,-49.375107
176,2024-01-31,13035,0.5618968,69.29057,31.512651
177,2024-01-31,13046,0.6082927,14.030316,-64.92642
178,2024-01-31,13085,0.586421,68.11347,28.723696
179,2024-01-31,13105,0.4976802,17.349745,47.32394
180,2024-01-31,13108,0.51292694,8.018644,50.98788
181,2024-01-31,13111,0.49106026,-11.819828,-25.65024
182,2024-01-31,13116,0.5558852,30.974289,-26.755014
183,2024-01-31,13124,0.4987162,6.78882,-7.964453
184,2024-01-31,13159,0.4273412,-46.835686,-23.82666
185,2024-01-31,13168,0.5736757,58.918644,31.40978
186,2024-01-31,13181,0.5566666,38.693214,29.081799
187,2024-01-31,13188,0.56373924,60.701252,37.70103
188,2024-01-31,13196,0.5537419,1.9436437,-68.3856
189,2024-01-31,13198,0.5262714,58.370735,23.661167
190,2024-01-31,13202,0.47810873,11.525447,58.552006
191,2024-01-31,13210,0.551229,2.35793,-76.66652
192,2024-01-31,13244,0.5103234,6.675654,-8.351855
193,2024-01-31,13249,0.5504253,14.04172,-51.973557
194,2024-01-31,13253,0.5858271,48.835457,-23.831192
195,2024-01-31,13260,0.47316974,-21.42194,-53.720528
196,2024-01-31,13278,0.6264059,51.642567,33.591724
197,2024-01-31,13279,0.31588277,-63.411823,-5.4743166
198,2024-01-31,13284,0.54317653,36.661686,52.63697
199,2024-01-31,13302,0.5570064,1.1981268,-77.31254
200,2024-01-31,13303,0.54009086,-4.2474008,-32.825695
201,2024-01-31,13305,0.5850858,52.988586,-11.467539
202,2024-01-31,13318,0.5810639,8.275577,-65.801834
203,2024-01-31,13323,0.6039837,24.439594,-64.21614
204,2024-01-31,13324,0.5150664,22.099413,6.248728
205,2024-01-31,13325,0.4750399,-9.996667,65.580765
206,2024-01-31,13326,0.56648445,47.523037,-19.029387
207,2024-01-31,13328,0.5521804,27.836597,-5.4851456
208,2024-01-31,13337,0.55493826,1.0714487,-64.23295
209,2024-01-31,13343,0.55215955,37.805565,-18.28524
210,2024-01-31,13356,0.47887978,-7.157922,58.357193
211,2024-01-31,13369,0.40710005,-49.903267,-25.315207
212,2024-01-31,13379,0.49390244,10.9645,59.120632
213,2024-01-31,13399,0.5748084,50.176807,-16.065422
214,2024-01-31,13407,0.5041559,14.387404,58.11655
215,2024-01-31,13410,0.56751174,32.946125,5.250216
216,2024-01-31,13411,0.46573347,-21.140345,34.23734
217,2024-01-31,13412,0.471415,-9.000766,-57.01266
218,2024-01-31,13447,0.57061,45.228752,48.65289
219,2024-01-31,13455,0.33798054,-57.659637,-5.562842
220,2024-01-31,13508,0.53654355,5.3333807,-69.29823
221,2024-01-31,13511,0.5103749,28.384436,56.431637
222,2024-01-31,13520,0.521951,9.815831,-10.604623
223,2024-01-31,13527,0.57419497,3.7805226,-53.1702
224,2024-01-31,13528,0.55395204,63.947796,25.975275
225,2024-01-31,13534,0.5124718,7.1951084,45.844944
