,CNN,Big_High,Big_Low,Small_High,Small_Low
2001-01-31,-0.03628538085764679,0.075087109729586,0.1504187393470627,0.1063019948262816,0.1035411269240985
2001-02-28,-0.03132790388796015,-0.1220074193372872,-0.0398695710178683,-0.0445122364739557,-0.0639942770174543
2001-03-31,0.019849492835610494,-0.0746347184283152,-0.0823463072853405,-0.023180110175439,-0.0551675069896347
2001-04-30,0.017815362391253753,0.1488805903104622,0.122532925980517,0.1137936564469648,0.1045105959944025
2001-05-31,-0.019499765246069552,-0.0107441425230788,0.0166566878308765,0.0089420424722031,0.0205407426103869
2001-06-30,-0.006898633040933848,-0.0329039646365489,-0.0132334764910923,0.0491940033636244,0.0433207813000355
2001-07-31,0.03997076234375764,-0.0109616840504137,-0.056040110210107,-0.0132465201553043,-0.0481096186831263
2001-08-31,0.014766843640960592,-0.0548302545292018,-0.0640910552527325,-0.0391996165542779,-0.0594725031126684
2001-09-30,0.0721704007387718,-0.0858910449299664,-0.1679807996273998,-0.1176135623862997,-0.1798646091664099
2001-10-31,0.0590624047976052,0.0954245684821441,0.0214108141221069,0.1200801255543416,0.0759690703191684
2001-11-30,-0.031741083704911646,0.0520654758999803,0.0913162513068008,0.0567890658017395,0.0810204578047423
2001-12-31,-0.008341988657484006,0.0357953779703001,0.0491045920560853,0.0744480468846661,0.0778228101138489
2002-01-31,0.02731103463779469,6.680311793887637e-05,-0.0314689830647726,-0.002350812459197,-0.0254370955520749
2002-02-28,0.038818584816632695,-0.011551982614244,-0.030546193052918,0.0082821157371685,-0.0503608434574229
2002-03-31,-0.01133626831479715,0.0360261057132706,0.0474369346511566,0.0602582652497881,0.0715199729414964
2002-04-30,0.04067020059866534,-0.0248773882671822,-0.0489728960133468,0.0413382426715672,-0.0159066507795989
2002-05-31,0.016486035808691048,-0.0214293231067974,-0.0242541202236864,-0.032267215338957,-0.0624144898394501
2002-06-30,0.0031614635368123964,-0.0629877639003624,-0.0738250899188134,-0.0281775030782862,-0.02366310413346
2002-07-31,0.031235995450279497,-0.0616353522666127,-0.0794601910015402,-0.0983480552184949,-0.1429952073841264
2002-08-31,0.00436207001790795,0.0305990664232689,0.0242250212560693,0.0041493323525447,0.0017992374839284
2002-09-30,0.012641133263394402,-0.0645550108485451,-0.0774742071831893,-0.0403864521458978,-0.0527495223380424
2002-10-31,0.04545244592346885,0.0496887102837786,0.0025041621415802,0.0440908314943362,0.0003704877895969
2002-11-30,-0.031052475319054862,0.0390333953841946,0.0662899848126104,0.0483201294575622,0.0831684906672561
2002-12-31,-0.04704857211327865,-0.0750521459508501,-0.0066877410694666,-0.0742624962414858,-0.048529756896312
2003-01-31,0.00027867431717260027,-0.0575630638890073,-0.0504306899756619,-0.0506249525738449,-0.0583146751215355
2003-02-28,0.003931795254633601,-0.0166031126271961,-0.0299218353168854,-0.0298281860146374,-0.0243730538342153
2003-03-31,-0.0079249991131599,0.0093153610736989,0.0273631360622538,0.0153198874713905,0.0131221107091554
2003-04-30,-0.010191815751710742,0.070980006723527,0.0761715360329431,0.0782308008449703,0.0934229030389757
2003-05-31,-0.023755193623362342,0.0755578182386092,0.0951925192109664,0.0927394378308075,0.120615124105175
2003-06-30,0.0092608515496451,0.0061093008344729,0.0031368959061586,0.0249549509846744,0.0094056528136985
2003-07-31,-0.02346384835713705,0.0078077657639792,0.0316009971470772,0.0391245906620687,0.0622590559932448
2003-08-31,-0.000531162979741602,0.0477385577641471,0.0479243053131721,0.0608306266280485,0.0617072050385067
2003-09-30,-0.013378238290533903,-0.0384468019519119,-0.0206368529756047,-0.0497937411913745,-0.0408472135866139
2003-10-31,0.027759011806989906,0.0648733709476149,0.0380777069744465,0.0780559305864294,0.049333570945618
2003-11-30,0.0015601374290017504,0.0103431434494115,0.0139379595149852,0.0175655974775856,0.0108505065540084
2003-12-31,-0.009295693701730369,0.0102150993239909,0.0315469710035334,-1.91688303501354e-05,-0.0027596531064319
2004-01-31,-0.024090001062823455,0.0157507055170276,0.0269609879117218,0.0112635423941772,0.0482332621251299
2004-02-29,-0.00047075451039190093,0.0175983627972214,0.0198901770133073,0.0090126784969679,0.0076623733016658
2004-03-31,0.00377425255828265,-0.0198061644304749,-0.0153357192899492,-0.0026072462558899,-0.0146261965129809
2004-04-30,-0.0034331497404649497,-0.0358326709102027,-0.0268978259566167,-0.0518318062186142,-0.0539003516912703
2004-05-31,0.0037727747131113994,0.0076666382952603,0.0090155663241304,0.0099711510600426,0.0010766736049497
2004-06-30,0.005485488576957798,0.0206255458957995,0.0222204175879327,0.041320345275179,0.0287544964291302
2004-07-31,0.0197182039702907,-0.0244960688160942,-0.0408816503739659,-0.0373121949512089,-0.0603630213339186
2004-08-31,0.005294840420084299,-0.0073928649870833,-0.0087624070891551,-0.0054622367968274,-0.0146823755349242
2004-09-30,-0.008441190030815102,0.0182702098777961,0.0251954363867069,0.0317644537230323,0.0417216072757517
2004-10-31,0.00048455533423734983,0.0049152659323971,0.0019366761418278,0.0017270733878268,0.0037365525099214
2004-11-30,-0.009287390922652003,0.0492252286201432,0.0595323747884561,0.0805337788205445,0.0888014144975356
2004-12-31,-0.0016187183468647504,0.0223603827441809,0.0265720838838892,0.0138509539226906,0.0128766894767118
2005-01-31,0.02234117098997825,-0.0057127887029041,-0.0183821381083462,0.0023316502898113,-0.0296813422847031
2005-02-28,0.04034344208452985,0.0311580011476772,-4.435484027099637e-05,0.0510214948622977,0.0015369666811862
2005-03-31,0.007232684021804998,-0.015153342307443,-0.0265513120170955,-0.0315242478889873,-0.0345916462229448
