,ViT,Big_High,Big_Low,Small_High,Small_Low
2001-01-31,0.00817572204137125,0.0929065980735083,0.1274718617503285,0.1368748018629965,0.0859580941034338
2001-02-28,0.0335263409982469,-0.0688043993211006,-0.0911010362929433,-0.0373318325400253,-0.0820878775646764
2001-03-31,0.013259013074079541,-0.0853330668907394,-0.0902211463439144,-0.0280949282325765,-0.0497248749275606
2001-04-30,0.022970271596111314,0.1377756822744629,0.108871334779896,0.1209865781141579,0.1039503824165022
2001-05-31,-0.004783634589415049,-0.0141723807346138,0.0130513205215236,0.0254742208866152,0.0078177888093079
2001-06-30,-0.005437272833848948,-0.0309752019767731,-0.0217523227672863,0.0436682021288197,0.0453198685870308
2001-07-31,0.01418988365734625,-0.0367354937404019,-0.0242526883120226,-0.0114602430244878,-0.0523228157675596
2001-08-31,0.00992032904731495,-0.0651142417089764,-0.0557180926503788,-0.0432329514689008,-0.0724697586221283
2001-09-30,0.03902810683235958,-0.100510705394399,-0.1473722041544435,-0.1383905615172096,-0.1695852764218843
2001-10-31,0.02314025401933595,0.0645784623857329,0.0283930466196704,0.1047848593424519,0.0946897670698425
2001-11-30,-0.016194704894852655,0.0612340954869385,0.0722369744148526,0.0607835787774435,0.0821701096392347
2001-12-31,0.0027367418353162476,0.0369219574102532,0.0449439420118998,0.0861803427752045,0.0726848745029254
2002-01-31,0.040097250726234,-0.000752472647894,-0.0313848081766491,0.0134647515093644,-0.0360974144143485
2002-02-28,0.04707202770360065,-0.0066561090426863,-0.0431493748072073,0.0114891685273561,-0.0461616211153242
2002-03-31,-0.006893074700305854,0.0411220238956396,0.048222738169033,0.0578114100994233,0.0644968452266416
2002-04-30,0.013903212475712452,-0.0393242772309928,-0.0403074666982249,0.0181589274720703,-0.0086643080121225
2002-05-31,0.019552755325627245,-0.0259835897857486,-0.0332744335687522,-0.0310933154228519,-0.0629079822911028
2002-06-30,0.015966887852210156,-0.0540357981936883,-0.0686772868039783,-0.0221634944074392,-0.0394557815015695
2002-07-31,0.024319705885920348,-0.0640315539865622,-0.0797929133060972,-0.098619910390912,-0.1314979628432177
2002-08-31,-0.008031986001011501,0.0217767168163809,0.0389928176729986,0.0144707228719394,0.0133185940173447
2002-09-30,0.010752217056657055,-0.0631558919824531,-0.0713087444472036,-0.0399713026458971,-0.0533228842944607
2002-10-31,0.01651318993960545,0.0363028434125254,0.0256020024658719,0.0410555792616624,0.018730040329105
2002-11-30,-0.03161401851887501,0.048786032718703,0.0627052779656423,0.0331025708685914,0.0824113626594021
2002-12-31,-0.01734450208501935,-0.0555774414377896,-0.0181902347319396,-0.0623760706949189,-0.0650742732307302
2003-01-31,0.0007048469108280539,-0.0544348651743831,-0.0465878667495784,-0.0447747514445887,-0.0540314436910495
2003-02-28,0.01902124856564175,-0.0084587003557704,-0.0400214794382398,-0.024277637991174,-0.0307573560399881
2003-03-31,-0.006271012432096851,0.0061457350252431,0.0181346516849581,0.0115457309059789,0.0120988391104576
2003-04-30,-0.001357990927352254,0.0753492668268842,0.070129579284915,0.0798194525041852,0.0877551219008589
2003-05-31,-0.012673578814519401,0.0859720700584934,0.0919509957800758,0.0902108040257812,0.1095790359332376
2003-06-30,0.0098011274888091,0.0097912036796786,-0.0012606742521171,0.0213508907269283,0.0128005136811058
2003-07-31,-0.013068696485709096,0.0138376193004352,0.0297034171518534,0.0505508784906114,0.0608224736106114
2003-08-31,-0.006500433117268646,0.0428977768098631,0.0506779796003953,0.0610116287221953,0.0662322921662004
2003-09-30,-0.007684876046067497,-0.0319586496730757,-0.0223029662298821,-0.0466567596101334,-0.040942690961192
2003-10-31,0.014203589171519704,0.0689562498685018,0.0439615278650388,0.0629519689145122,0.0595395125749358
2003-11-30,0.0056688318069468,0.0095946116278133,0.0134462313690033,0.0214218671905708,0.0062325838354872
2003-12-31,0.002852077697416999,0.0198029616795924,0.0230408403153209,0.0072019820750037,-0.0017400519555588
2004-01-31,-0.009032487958673549,0.0271054206895692,0.0212399651346963,0.0201780933566352,0.0441085248288552
2004-02-29,0.010853026811963498,0.0254562767894766,0.0125975978416337,0.0144194462127074,0.0055720715366233
2004-03-31,0.004771016702657501,-0.0213819244428633,-0.0200822117924433,-0.0054148063359127,-0.0162565523916477
2004-04-30,0.002306977250985748,-0.0252638076722796,-0.0301333604983611,-0.0555573602363869,-0.0553017619122769
2004-05-31,0.0019518311537504995,0.0118070266172218,0.0097615095688785,0.0112368817282639,0.0093787364691062
2004-06-30,0.014426200568738605,0.0253826185972134,0.0176633501677833,0.0465092805271882,0.0253761478191411
2004-07-31,0.0035864127617611513,-0.0331683941752931,-0.0358209001004225,-0.0513976287054814,-0.0559179483038743
2004-08-31,0.007235916631378899,-0.00091393391554,-0.0103888545235679,-0.0105208561093422,-0.0155177687640721
2004-09-30,0.00448063335955215,0.0246505203258522,0.024723783636635,0.0481678092765194,0.0391332792466323
2004-10-31,-0.006592006459775901,0.0061925182572696,0.0065426927978055,-0.0072398183041552,0.0055940200748607
2004-11-30,0.0025658798646951975,0.0585175665520094,0.060358050121427,0.0873425952900995,0.0803703519912915
2004-12-31,-0.00648809064564025,0.0222417091262892,0.026017223851409,0.004548884490008,0.0137495510561687
2005-01-31,0.016644203108410697,-0.0041713497879195,-0.0174004995359817,-0.0108362537498051,-0.0308955102185643
2005-02-28,0.02189676683704315,0.0231895279290539,0.0005261658759461,0.0258506676661972,0.0047204960452187
2005-03-31,0.006914988886417752,-0.018784548430293,-0.023155296456219,-0.0239625881382227,-0.0334218178851322
